vol_bucket,sentiment_clean,avg_pnl,med_pnl,n_days
Q1 (low),Extreme Greed,-2782.00807,-2782.00807,1
Q1 (low),Fear,19451.742477,19451.742477,1
Q1 (low),Greed,33427.00625311111,55.01524,3
Q1 (low),Neutral,-3572.647058,-0.41864,1
Q1 (low),nan,871.6849969000001,134.1664345,1
Q2,Extreme Greed,,,0
Q2,Fear,91163.058416,45883.628955,1
Q2,Greed,30759.072357727273,20925.513222,1
Q2,Neutral,145563.448374,145563.448374,1
Q2,nan,31126.137258000002,17449.9740055,1
Q3,Extreme Greed,-7919.471032000002,-7919.471032000002,1
Q3,Fear,48466.206773142854,21703.816512999998,1
Q3,Greed,213205.245539375,56645.948628,1
Q3,Neutral,26730.5121375,26730.5121375,1
Q3,nan,-65497.993305857155,3343.0556109999998,1
Q4 (high),Extreme Greed,95224.489473,95224.489473,1
Q4 (high),Fear,335474.62304547057,126967.976166,1
Q4 (high),Greed,211195.429712,80205.60644450001,2
Q4 (high),Neutral,-25991.506339,-25991.506339,1
Q4 (high),nan,167360.813629,167360.813629,1
